# running surf12.sh
# depolarizing probability p1, measurement error p2
# d=3 p1=0.032 index=0
# columns: d p1 p2 Nfails Ntotal
3 0.032 0.032 0.348389 8192 5338 # tmp.dem
3 0.032 0.016 0.327148 8192 5512 # tmp.dem
3 0.032 0.008 0.3125 8192 5632 # tmp.dem
3 0.032 0.004 0.300659 8192 5729 # tmp.dem
3 0.032 0.002 0.305908 8192 5686 # tmp.dem
3 0.032 0.001 0.295044 8192 5775 # tmp.dem
3 0.032 0.0005 0.294434 8192 5780 # tmp.dem
# fit results: d p1 a b a_err b_err
# 3 0.032 -9.96425436260395 0.0384944397002191 0.0403614796259603 0.00717688395158991


# d=3 p1=0.016 index=1
# columns: d p1 p2 Nfails Ntotal
3 0.016 0.032 0.190796 8192 6629 # tmp.dem
3 0.016 0.016 0.151245 8192 6953 # tmp.dem
3 0.016 0.008 0.140137 8192 7044 # tmp.dem
3 0.016 0.004 0.127441 8192 7148 # tmp.dem
3 0.016 0.002 0.12793 8192 7144 # tmp.dem
3 0.016 0.001 0.125488 8192 7164 # tmp.dem
3 0.016 0.0005 0.120117 16384 14416 # tmp.dem
# fit results: d p1 a b a_err b_err
# 3 0.016 -9.98842031705791 0.198569452477011 0.286535799679603 0.0519866887376233


# d=3 p1=0.008 index=2
# columns: d p1 p2 Nfails Ntotal
3 0.008 0.032 0.0923462 16384 14871 # tmp.dem
3 0.008 0.016 0.0594482 24576 23115 # tmp.dem
3 0.008 0.008 0.0479329 24576 23398 # tmp.dem
3 0.008 0.004 0.0410156 24576 23568 # tmp.dem
3 0.008 0.002 0.0381165 32768 31519 # tmp.dem
3 0.008 0.001 0.0384216 32768 31509 # tmp.dem
3 0.008 0.0005 0.039032 32768 31489 # tmp.dem
# fit results: d p1 a b a_err b_err
# 3 0.008 -11.0540294851088 0.38450758156716 0.414657651045788 0.0781197367740429


# d=3 p1=0.004 index=3
# columns: d p1 p2 Nfails Ntotal
3 0.004 0.032 0.0505778 24576 23333 # tmp.dem
3 0.004 0.016 0.0254639 40960 39917 # tmp.dem
3 0.004 0.008 0.0159149 65536 64493 # tmp.dem
3 0.004 0.004 0.0129761 81920 80857 # tmp.dem
3 0.004 0.002 0.0111195 90112 89110 # tmp.dem
3 0.004 0.001 0.0100755 106496 105423 # tmp.dem
3 0.004 0.0005 0.0103149 98304 97290 # tmp.dem
# fit results: d p1 a b a_err b_err
# 3 0.004 -10.5739583882499 0.828860266435167 0.686330140267559 0.139400390944976


# d=3 p1=0.002 index=4
# columns: d p1 p2 Nfails Ntotal
3 0.002 0.032 0.033905 32768 31657 # tmp.dem
3 0.002 0.016 0.012854 81920 80867 # tmp.dem
3 0.002 0.008 0.00646034 106496 105808 # tmp.dem
3 0.002 0.004 0.00406588 106496 106063 # tmp.dem
3 0.002 0.002 0.00293908 106496 106183 # tmp.dem
3 0.002 0.001 0.0028264 106496 106195 # tmp.dem
3 0.002 0.0005 0.00259165 106496 106220 # tmp.dem
# fit results: d p1 a b a_err b_err
# 3 0.002 -10.2669063453654 1.12962913648166 1.01335670989182 0.228223730634176


# d=3 p1=0.001 index=5
# columns: d p1 p2 Nfails Ntotal
3 0.001 0.032 0.0293457 40960 39758 # tmp.dem
3 0.001 0.016 0.00864821 106496 105575 # tmp.dem
3 0.001 0.008 0.00289213 106496 106188 # tmp.dem
3 0.001 0.004 0.00156813 106496 106329 # tmp.dem
3 0.001 0.002 0.0010329 106496 106386 # tmp.dem
3 0.001 0.001 0.000788762 106496 106412 # tmp.dem
3 0.001 0.0005 0.000694862 106496 106422 # tmp.dem
# fit results: d p1 a b a_err b_err
# 3 0.001 -9.05216642742869 1.55718176571118 1.14350266205147 0.284118596064436


# d=3 p1=0 index=6
# columns: d p1 p2 Nfails Ntotal
3 0 0.032 0.0153656 65536 64529 # tmp.dem
3 0 0.016 0.00384991 106496 106086 # tmp.dem
3 0 0.008 0.0011268 106496 106376 # tmp.dem
3 0 0.004 0.000319261 106496 106462 # tmp.dem
3 0 0.002 0.00013146 106496 106482 # tmp.dem
3 0 0.001 1.878e-05 106496 106494 # tmp.dem
3 0 0.0005 0 106496 106496 # tmp.dem
# fit results: d p1 a b a_err b_err
# 3 0 -7.60466663474706 2.23952772850767 0.573265065575552 0.153611262077799


# d=5 p1=0.032 index=7
# columns: d p1 p2 Nfails Ntotal
5 0.032 0.032 0.501709 8192 4082 # tmp.dem
5 0.032 0.016 0.495728 8192 4131 # tmp.dem
5 0.032 0.008 0.494751 8192 4139 # tmp.dem
5 0.032 0.004 0.487671 8192 4197 # tmp.dem
5 0.032 0.002 0.493286 8192 4151 # tmp.dem
5 0.032 0.001 0.498901 8192 4105 # tmp.dem
5 0.032 0.0005 0.488892 8192 4187 # tmp.dem
# fit results: d p1 a b a_err b_err
# 5 0.032 -9.69598324162807 0.0034917464001144 0.0148357426670579 0.00260881509255942


# d=5 p1=0.016 index=8
# columns: d p1 p2 Nfails Ntotal
5 0.016 0.032 0.452759 8192 4483 # tmp.dem
5 0.016 0.016 0.449219 8192 4512 # tmp.dem
5 0.016 0.008 0.431519 8192 4657 # tmp.dem
5 0.016 0.004 0.419067 8192 4759 # tmp.dem
5 0.016 0.002 0.43689 8192 4613 # tmp.dem
5 0.016 0.001 0.408813 8192 4843 # tmp.dem
5 0.016 0.0005 0.409546 8192 4837 # tmp.dem
# fit results: d p1 a b a_err b_err
# 5 0.016 -9.7204119345659 0.024561486580745 0.0328881231632294 0.00582375835251242


# d=5 p1=0.008 index=9
# columns: d p1 p2 Nfails Ntotal
5 0.008 0.032 0.364746 8192 5204 # tmp.dem
5 0.008 0.016 0.297729 8192 5753 # tmp.dem
5 0.008 0.008 0.246826 8192 6170 # tmp.dem
5 0.008 0.004 0.220459 8192 6386 # tmp.dem
5 0.008 0.002 0.208618 8192 6483 # tmp.dem
5 0.008 0.001 0.204224 8192 6519 # tmp.dem
5 0.008 0.0005 0.200928 8192 6546 # tmp.dem
# fit results: d p1 a b a_err b_err
# 5 0.008 -9.59452786371434 0.149345204584924 0.13561461641016 0.0250017826309098


# d=5 p1=0.004 index=10
# columns: d p1 p2 Nfails Ntotal
5 0.004 0.032 0.25415 8192 6110 # tmp.dem
5 0.004 0.016 0.15332 8192 6936 # tmp.dem
5 0.004 0.008 0.0860596 16384 14974 # tmp.dem
5 0.004 0.004 0.0646362 16384 15325 # tmp.dem
5 0.004 0.002 0.0522054 24576 23293 # tmp.dem
5 0.004 0.001 0.049113 24576 23369 # tmp.dem
5 0.004 0.0005 0.0469157 24576 23423 # tmp.dem
# fit results: d p1 a b a_err b_err
# 5 0.004 -7.75028276191629 0.795779867599334 0.500293342113459 0.102956617878332


# d=5 p1=0.002 index=11
# columns: d p1 p2 Nfails Ntotal
5 0.002 0.032 0.195557 8192 6590 # tmp.dem
5 0.002 0.016 0.0821533 16384 15038 # tmp.dem
5 0.002 0.008 0.0291992 40960 39764 # tmp.dem
